,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
198,Latehar,23.74186545,84.51301366522105,26,1690,5,1659
199,Lohardaga,23.46920055,84.73568423071751,56,1538,8,1474
200,Pakur,24.6379064,87.8556962,33,840,2,805
201,Palamu,23.916667,84.083333,50,3007,14,2943
202,Ramgarh,24.517725249999998,87.26258572061664,119,3922,23,3780
203,Ranchi,23.3700354,85.3250132,1830,25116,171,23115
204,Sahibganj,25.2820998,87.61850784289338,38,1499,9,1452
205,Saraikela-Kharsawan,22.7464225,85.91689291046393,234,3398,11,3153
206,Simdega,22.6664325,84.5502679119221,104,1849,4,1741
207,West Singhbhum,22.5,85.5,115,4342,36,4191
208,Anantnag,33.7366359,75.1457394,338,4183,74,3771
209,Bandipora,34.497502749999995,74.69995089313494,269,3981,45,3667
210,Baramulla,34.205005650000004,74.36221081111597,1414,5675,143,4118
211,Budgam,34.04796585,74.7441397838328,327,5877,92,5458
212,Doda,33.1774307,75.56752281893789,155,2615,45,2415
213,Ganderbal,34.2154914,74.7723191,194,3440,32,3214
214,Jammu,32.7185614,74.8580917,890,17013,249,15874
215,Kathua,32.4288215,75.56286458392415,45,2387,30,2312
216,Kishtwar,33.2761171,75.8169238781403,173,1849,14,1662
217,Kulgam,33.669800550000005,75.01480232217389,104,2460,46,2310
218,Kupwara,34.611023599999996,74.238478667319,400,4311,71,3840
219,Mirpur,33.1486351,73.7482102,0,0,0,0
220,Muzaffarabad,34.3734751,73.4702407,0,0,0,0
221,Pulwama,33.89829355,74.89634093792017,243,4573,80,4250
222,Punch,33.8963394,74.1459198,267,2219,22,1930
223,Rajouri,33.3772495,74.3132332,126,3172,46,3000
224,Ramban,33.211637100000004,75.20509890752818,66,1563,13,1484
225,Reasi,33.069103150000004,74.8378698208889,75,1229,7,1147
226,Samba,32.553,75.1108,372,2135,25,1738
228,Srinagar,34.0747444,74.8204443,1645,18729,346,16738
229,Udhampur,33.0,75.166667,105,2637,29,2503
230,Bagalkote,16.1853166,75.6967919,328,12983,131,12524
231,Ballari,15.2485413,76.8323648,1618,36862,525,34719
232,Belagavi,15.8572666,74.5069343,732,24452,328,23392
233,Bengaluru Rural,13.18077825,77.34174236923371,3602,15827,122,12103
234,Bengaluru Urban,12.94514225,77.55364499971128,49224,327376,3754,274397
235,Bidar,17.9104,77.5199,76,6851,163,6608
